user_id,user_ip,workflow_id,created_at,gold_standard,expert,metadata,annotations,subject_data
,129.67.95.189,945,2015-05-01 11:46:40 UTC,,,"{""started_at"":""2015-05-01T11:46:05.510Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"",""finished_at"":""2015-05-01T11:46:40.302Z"",""user_language"":""en"",""workflow_version"":""13186.13187""}","[{""task"":""T1"",""value"":6},{""task"":""T2"",""value"":0}]","{""6070"":{""maxx"":-7256014.220041,""maxy"":-3059162.745598,""minx"":-7259071.701172,""miny"":-3061455.856446,""img_index"":569,""tilename_jpg"":""L15-0651E-0864N_038_014.jpg""}}"
,129.67.95.189,945,2015-05-01 11:47:41 UTC,,,"{""started_at"":""2015-05-01T11:46:50.800Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"",""finished_at"":""2015-05-01T11:47:41.237Z"",""user_language"":""en"",""workflow_version"":""13186.13188""}","[{""task"":""T1"",""value"":5},{""task"":""T2"",""value"":2}]","{""5792"":{""maxx"":-7185692.154029,""maxy"":-2994955.641847,""minx"":-7188749.635160001,""miny"":-2997248.7526950003,""img_index"":135,""tilename_jpg"":""L15-0651E-0864N_010_037.jpg""}}"
,129.67.95.189,945,2015-05-01 11:50:53 UTC,,,"{""started_at"":""2015-05-01T11:50:24.860Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"",""finished_at"":""2015-05-01T11:50:52.816Z"",""user_language"":""en"",""workflow_version"":""13189.13190""}","[{""task"":""T1"",""value"":5},{""task"":""T2"",""value"":2}]","{""5886"":{""maxx"":-7216266.965338,""maxy"":-3020179.861178,""minx"":-7219324.446469001,""miny"":-3022472.972026,""img_index"":357,""tilename_jpg"":""L15-0651E-0864N_021_027.jpg""}}"
,129.67.95.189,945,2015-05-01 11:51:04 UTC,,,"{""started_at"":""2015-05-01T11:50:54.252Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"",""finished_at"":""2015-05-01T11:51:04.391Z"",""user_language"":""en"",""workflow_version"":""13189.13190""}","[{""task"":""T1"",""value"":5},{""task"":""T2"",""value"":0}]","{""6054"":{""maxx"":-7246841.776648,""maxy"":-3054576.5239009997,""minx"":-7249899.257778999,""miny"":-3056869.63475,""img_index"":544,""tilename_jpg"":""L15-0651E-0864N_036_017.jpg""}}"
,129.67.95.189,945,2015-05-01 11:51:30 UTC,,,"{""started_at"":""2015-05-01T11:51:05.476Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"",""finished_at"":""2015-05-01T11:51:30.030Z"",""user_language"":""en"",""workflow_version"":""13189.13190""}","[{""task"":""T1"",""value"":6}]","{""6070"":{""maxx"":-7256014.220041,""maxy"":-3059162.745598,""minx"":-7259071.701172,""miny"":-3061455.856446,""img_index"":569,""tilename_jpg"":""L15-0651E-0864N_038_014.jpg""}}"
,129.67.95.189,945,2015-05-01 11:52:24 UTC,,,"{""started_at"":""2015-05-01T11:51:35.290Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"",""finished_at"":""2015-05-01T11:52:24.196Z"",""user_language"":""en"",""workflow_version"":""13189.13190""}","[{""task"":""T1"",""value"":4},{""task"":""T2"",""value"":2}]","{""6686"":{""maxx"":-5711986.248895,""maxy"":-3160059.62292,""minx"":-5715043.730026,""miny"":-3162352.733768,""img_index"":1291,""tilename_jpg"":""L15-0651E-0864N_082_519.jpg""}}"
,129.67.95.189,945,2015-05-01 11:59:42 UTC,,,"{""started_at"":""2015-05-01T11:59:15.592Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"",""finished_at"":""2015-05-01T11:59:41.929Z"",""user_language"":""en"",""workflow_version"":""13189.13191""}","[{""task"":""T1"",""value"":5},{""task"":""T2"",""value"":2}]","{""5886"":{""maxx"":-7216266.965338,""maxy"":-3020179.861178,""minx"":-7219324.446469001,""miny"":-3022472.972026,""img_index"":357,""tilename_jpg"":""L15-0651E-0864N_021_027.jpg""}}"
,129.67.95.189,945,2015-05-01 11:59:50 UTC,,,"{""started_at"":""2015-05-01T11:59:42.849Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"",""finished_at"":""2015-05-01T11:59:50.735Z"",""user_language"":""en"",""workflow_version"":""13189.13191""}","[{""task"":""T1"",""value"":4},{""task"":""T2"",""value"":2}]","{""5898"":{""maxx"":-7231554.3709929995,""maxy"":-3024766.082874,""minx"":-7234611.852124001,""miny"":-3027059.1937220003,""img_index"":392,""tilename_jpg"":""L15-0651E-0864N_023_022.jpg""}}"
1845,90.56.25.250,945,2015-05-01 12:34:03 UTC,,,"{""started_at"":""2015-05-01T11:54:49.581Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T12:34:02.225Z"",""user_language"":""en"",""workflow_version"":""13189.13191""}","[{""task"":""T1"",""value"":4},{""task"":""T2"",""value"":2}]","{""5758"":{""maxx"":-7164289.786111999,""maxy"":-2976610.755061,""minx"":-7167347.267242999,""miny"":-2978903.865909,""img_index"":24,""tilename_jpg"":""L15-0651E-0864N_002_044.jpg""}}"
1845,90.56.25.250,945,2015-05-01 12:34:14 UTC,,,"{""started_at"":""2015-05-01T12:34:03.990Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T12:34:14.778Z"",""user_language"":""en"",""workflow_version"":""13189.13191""}","[{""task"":""T1"",""value"":4},{""task"":""T2"",""value"":0}]","{""5759"":{""maxx"":-7161232.304981,""maxy"":-2976610.755061,""minx"":-7164289.786111999,""miny"":-2978903.865909,""img_index"":25,""tilename_jpg"":""L15-0651E-0864N_002_045.jpg""}}"
