maxx,maxy,minx,miny,no_priority,priority1,priority2,priority3,priority4,priority5,subject_id
-5990217.0318,-3540716.0237,-5993274.5129,-3543009.1346,0.9592,0.0000,0.0000,0.0000,0.0000,0.0408,8258
-5730331.1357,-3157766.5121,-5733388.6168,-3160059.6229,0.0003,0.0000,0.0000,0.0001,0.9824,0.0171,6662
-7268244.1446,-3070628.2998,-7271301.6257,-3072921.4107,0.1249,0.0001,0.0306,0.0017,0.0015,0.8412,6113
-7225439.4087,-3017886.7503,-7228496.8899,-3020179.8612,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5875
-5828170.5319,-3306818.7172,-5831228.0130,-3309111.8281,0.0000,0.0000,0.0000,0.0000,0.9678,0.0322,7857
-7216266.9653,-3017886.7503,-7219324.4465,-3020179.8612,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5878
-5806768.1640,-3281594.4979,-5809825.6451,-3283887.6087,0.0027,0.0000,0.0000,0.0001,0.0022,0.9950,7661
-5849572.8998,-3309111.8281,-5852630.3809,-3311404.9389,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,7866
-7228496.8899,-3022472.9720,-7231554.3710,-3024766.0829,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5890
-7271301.6257,-3107318.0734,-7274359.1068,-3109611.1843,0.0036,0.0001,0.1394,0.8515,0.0020,0.0034,6286
-5812883.1262,-3281594.4979,-5815940.6073,-3283887.6087,0.0056,0.0000,0.0000,0.0003,0.0449,0.9492,7659
-7237669.3333,-3020179.8612,-7240726.8144,-3022472.9720,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5879
-7234611.8521,-3020179.8612,-7237669.3333,-3022472.9720,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5880
-7228496.8899,-3020179.8612,-7231554.3710,-3022472.9720,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5882
-7225439.4087,-3020179.8612,-7228496.8899,-3022472.9720,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5883
-7237669.3333,-3022472.9720,-7240726.8144,-3024766.0829,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5887
-5828170.5319,-3309111.8281,-5831228.0130,-3311404.9389,0.0000,0.0000,0.0000,0.0000,0.9985,0.0015,7873
-7231554.3710,-3022472.9720,-7234611.8521,-3024766.0829,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5889
-5981044.5884,-3524664.2478,-5984102.0696,-3526957.3586,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8182
-5800653.2017,-3290766.9413,-5803710.6828,-3293060.0521,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7725
-7225439.4087,-3022472.9720,-7228496.8899,-3024766.0829,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5891
-5987159.5507,-3547595.3563,-5990217.0318,-3549888.4671,0.9999,0.0000,0.0000,0.0000,0.0000,0.0001,8294
-7277416.5880,-3109611.1843,-7280474.0691,-3111904.2951,0.9997,0.0000,0.0000,0.0000,0.0000,0.0003,6296
-5702813.8055,-3150887.1795,-5705871.2866,-3153180.2904,0.9997,0.0000,0.0000,0.0000,0.0000,0.0003,6613
-5736446.0979,-3171525.1772,-5739503.5791,-3173818.2880,0.0056,0.0000,0.0000,0.0003,0.0449,0.9492,7149
-5696698.8432,-3137128.5144,-5699756.3244,-3139421.6253,0.9902,0.0000,0.0000,0.0000,0.0000,0.0098,6496
-5751733.5036,-3192163.1748,-5754790.9847,-3194456.2856,0.0103,0.0711,0.0095,0.8936,0.0046,0.0110,7261
-5736446.0979,-3194456.2856,-5739503.5791,-3196749.3965,0.9997,0.0000,0.0000,0.0000,0.0000,0.0003,7274
-5797595.7206,-3288473.8304,-5800653.2017,-3290766.9413,0.9997,0.0000,0.0000,0.0000,0.0000,0.0003,7707
-7219324.4465,-3022472.9720,-7222381.9276,-3024766.0829,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5893
-7213209.4842,-3022472.9720,-7216266.9653,-3024766.0829,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5895
-7225439.4087,-3024766.0829,-7228496.8899,-3027059.1937,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5900
-5812883.1262,-3297646.2738,-5815940.6073,-3299939.3847,0.0002,0.0000,0.0000,0.9552,0.0002,0.0445,7780
-7252956.7389,-3084386.9649,-7256014.2200,-3086680.0758,0.0047,0.0000,0.0002,0.4011,0.5238,0.0701,6171
-7216266.9653,-3024766.0829,-7219324.4465,-3027059.1937,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5903
-5822055.5696,-3295353.1630,-5825113.0507,-3297646.2738,0.8086,0.0000,0.0000,0.0002,0.0001,0.1911,7757
-7213209.4842,-3024766.0829,-7216266.9653,-3027059.1937,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5904
-5797595.7206,-3299939.3847,-5800653.2017,-3302232.4955,0.0047,0.0000,0.0002,0.4011,0.5238,0.0701,7804
-7185692.1540,-3024766.0829,-7188749.6352,-3027059.1937,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5905
-5864860.3054,-3329749.8257,-5867917.7866,-3332042.9365,0.9099,0.0000,0.0000,0.0002,0.0001,0.0899,8004
-7182634.6729,-3024766.0829,-7185692.1540,-3027059.1937,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5906
-7179577.1918,-3024766.0829,-7182634.6729,-3027059.1937,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5907
-5843457.9375,-3336629.1582,-5846515.4187,-3338922.2691,0.0036,0.0001,0.1394,0.8515,0.0020,0.0034,8046
-5834285.4941,-3345801.6016,-5837342.9753,-3348094.7125,0.9997,0.0000,0.0000,0.0000,0.0000,0.0003,8092
-7237669.3333,-3027059.1937,-7240726.8144,-3029352.3046,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5908
-5968814.6639,-3515491.8044,-5971872.1450,-3517784.9152,0.0000,0.0000,0.0000,0.0000,0.9985,0.0015,8145
-7234611.8521,-3027059.1937,-7237669.3333,-3029352.3046,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5909
-5981044.5884,-3543009.1346,-5984102.0696,-3545302.2454,0.9999,0.0000,0.0000,0.0000,0.0000,0.0001,8274
-7188749.6352,-2974317.6442,-7191807.1163,-2976610.7551,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5747
-7274359.1068,-3095852.5192,-7277416.5880,-3098145.6300,0.1345,0.0005,0.0015,0.0212,0.7047,0.1377,6226
-5739503.5791,-3215094.2833,-5742561.0602,-3217387.3941,0.2311,0.0001,0.0004,0.0038,0.0032,0.7614,7373
-5742561.0602,-3224266.7267,-5745618.5413,-3226559.8375,0.0122,0.0000,0.0000,0.0001,0.0001,0.9877,7420
-5806768.1640,-3256370.2785,-5809825.6451,-3258663.3894,0.0122,0.0000,0.0000,0.0001,0.0001,0.9877,7547
-5785365.7960,-3247197.8352,-5788423.2772,-3249490.9460,0.0024,0.0000,0.0000,0.0005,0.7258,0.2713,7511
-5861802.8243,-3327456.7148,-5864860.3054,-3329749.8257,0.0024,0.0000,0.0000,0.0005,0.7258,0.2713,7993
-5974929.6262,-3524664.2478,-5977987.1073,-3526957.3586,0.0122,0.0000,0.0000,0.0001,0.0001,0.9877,8184
-5999389.4752,-3526957.3586,-6002446.9563,-3529250.4695,0.0001,0.0000,0.0000,0.0000,0.0154,0.9845,8187
-7237669.3333,-3052283.4131,-7240726.8144,-3054576.5239,0.0588,0.0000,0.0001,0.0035,0.0731,0.8645,6047
-7252956.7389,-3059162.7456,-7256014.2200,-3061455.8564,0.9997,0.0000,0.0000,0.0000,0.0000,0.0003,6071
-5815940.6073,-3267835.8328,-5818998.0885,-3270128.9436,0.9997,0.0000,0.0000,0.0000,0.0000,0.0003,7594
-5815940.6073,-3274715.1653,-5818998.0885,-3277008.2762,0.0122,0.0000,0.0000,0.0001,0.0001,0.9877,7630
-5815940.6073,-3318284.2714,-5818998.0885,-3320577.3823,0.2311,0.0001,0.0004,0.0038,0.0032,0.7614,7937
-7161232.3050,-2974317.6442,-7164289.7861,-2976610.7551,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5752
-7194864.5974,-2976610.7551,-7197922.0786,-2978903.8659,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5753
-5987159.5507,-3517784.9152,-5990217.0318,-3520078.0261,0.9996,0.0000,0.0000,0.0000,0.0000,0.0004,8147
-5987159.5507,-3522371.1369,-5990217.0318,-3524664.2478,0.1488,0.0002,0.0004,0.0022,0.0056,0.8428,8168
-7277416.5880,-3111904.2951,-7280474.0691,-3114197.4060,0.9997,0.0000,0.0000,0.0000,0.0000,0.0003,6307
-5736446.0979,-3187576.9531,-5739503.5791,-3189870.0639,0.9099,0.0000,0.0000,0.0002,0.0001,0.0899,7242
-5751733.5036,-3244904.7243,-5754790.9847,-3247197.8352,0.0122,0.0000,0.0000,0.0001,0.0001,0.9877,7505
-5822055.5696,-3274715.1653,-5825113.0507,-3277008.2762,0.9896,0.0000,0.0001,0.0005,0.0003,0.0095,7628
-5681411.4376,-3132542.2927,-5684468.9187,-3134835.4036,0.0001,0.0000,0.0000,0.0000,0.9697,0.0302,6438
-5834285.4941,-3336629.1582,-5837342.9753,-3338922.2691,0.9099,0.0000,0.0000,0.0002,0.0001,0.0899,8049
-7185692.1540,-2976610.7551,-7188749.6352,-2978903.8659,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5756
-5852630.3809,-3345801.6016,-5855687.8621,-3348094.7125,0.9996,0.0000,0.0000,0.0000,0.0000,0.0004,8088
-7194864.5974,-2978903.8659,-7197922.0786,-2981196.9768,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5761
-7194864.5974,-2985783.1985,-7197922.0786,-2988076.3093,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5773
-5849572.8998,-3320577.3823,-5852630.3809,-3322870.4931,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7944
