light_curve_id,kind,zooniverse_id,p_radius,p_period
639636,3,APH10525390,9.66,11
639637,3,APH10783856,2.91,3.49
639638,3,APH10886747,7.61,0.58
639639,3,APH10687229,2.02,9.94
639640,3,APH10886263,3.33,3.11
639641,3,APH10463736,5.52,12.5
639642,3,APH10794778,6.47,3.13
639643,3,APH10418994,2.96,6.17
639644,3,APH10942668,8.39,3.96
639645,3,APH10992348,9.75,3
639646,3,APH10543517,3.43,10
639647,3,APH10619699,5.81,4.4
639648,3,APH10530938,3.57,1.84
639649,3,APH10812247,5.54,11.7
639650,3,APH10753806,5.28,5.59
639651,3,APH10710543,3.89,4.98
639652,3,APH10272630,2.57,1.72
639653,3,APH10700554,2.26,0.59
639654,3,APH10378726,6.07,4.81
639655,3,APH10159171,2.44,4.39
639656,3,APH10690130,2.08,5.89
639657,3,APH10539920,3.61,1.33
639658,3,APH10378967,2.02,8.19
639659,3,APH10550956,2.74,4.12
639660,3,APH10582728,2.3,1.96
639661,3,APH10996395,4.58,11.52
639662,3,APH10933102,2.5,7.93
639663,3,APH10785796,2.77,6.04
639664,3,APH10724086,3.51,2.28
639665,3,APH10579078,7.69,13.74
639666,3,APH10554222,2.72,5.93
639667,3,APH10436766,2.44,14.43
639668,3,APH10615009,5.95,3.25
639669,3,APH10300780,5.86,0.56
639670,3,APH10599573,3.61,11.02
639671,3,APH10786951,2.05,11.73
639672,3,APH10228514,5.82,3
639673,3,APH10671232,4.86,8.69
639674,3,APH10746696,2.05,7.78
639675,3,APH10224020,2.28,4.63
639676,3,APH10740340,2.27,9.38
639677,3,APH10505451,2.25,11
639678,3,APH10290586,12.61,14.29
639679,3,APH10792273,4.1,14.88
639680,3,APH10587486,4.91,13.4
639681,3,APH10503957,11.32,5.33
639682,3,APH10983556,5.34,3.49
639683,3,APH10279386,2.78,9.5
639684,3,APH10746140,13.74,7.92
639685,3,APH10556679,7.51,8.44
639686,3,APH10560589,3.02,1.22
639687,3,APH10593147,5.75,6.35
639688,3,APH10604196,3.44,5.8
639689,3,APH10998306,8.21,1.75
639690,3,APH10849783,3.6,5.5
639691,3,APH10745877,6.42,1.53
639692,3,APH10469334,4.41,4.17
639693,3,APH10598967,3.48,3.59
639694,3,APH10260833,2.32,14.44
639695,3,APH10187717,2.93,7.21
639696,3,APH10864816,3.36,7.91
639697,3,APH10270738,4.58,9.37
639698,3,APH10887947,14.59,3.98
639699,3,APH10603294,9.5,10.62
639700,3,APH10168375,3.91,5.42
639701,3,APH10486663,13.57,0.78
639702,3,APH10812493,2.27,1.16
639703,3,APH10858072,2.2,6.46
639704,3,APH10211461,2.89,8.19
639705,3,APH10849453,4.27,8.83
639706,3,APH10705161,4.96,6.2
639707,3,APH10742451,2.42,6.5
639708,3,APH10579510,3.48,8.83
639709,3,APH10554021,4.06,6.4
639710,3,APH10916751,3.77,2.87
639711,3,APH10612555,4.66,10.35
639712,3,APH10359963,3.48,8.36
639713,3,APH10950190,2.67,0.78
639714,3,APH10184181,2.65,6.16
639715,3,APH10234690,3.51,1.95
639716,3,APH10575318,2.7,9.27
639717,3,APH10305590,3.63,0.86
639718,3,APH10244226,2.58,0.96
639719,3,APH10468334,2.55,13.76
639720,3,APH10919472,3.34,6.39
639721,3,APH10865508,9.96,13.47
639722,3,APH10710563,2.81,4.38
639723,3,APH10362796,2.91,0.63
639724,3,APH10582488,2.87,7.75
639725,3,APH10869442,3.27,11.79
639726,3,APH10620932,11.16,1.15
639727,3,APH10201951,2.12,0.85
639728,3,APH10870666,6.18,1.62
639729,3,APH10733788,3.42,8.51
639730,3,APH10552507,4.74,9.48
639731,3,APH10756733,9.4,1.09
639732,3,APH10522437,3.23,9.64
639733,3,APH10887723,3.24,3.65
639734,3,APH10298483,3.49,4.79
639735,3,APH10358103,2.02,8.5
639736,3,APH10337704,6.71,3.99
639737,3,APH10413629,4.09,1.57
639738,3,APH10459636,2.71,9.78
639739,3,APH10952345,5.09,8.61
639740,3,APH10363875,3.2,6.57
639741,3,APH10946062,3.75,13.81
639742,3,APH10710552,8.27,2.78
639743,3,APH10711023,9.61,5.89
639744,3,APH10545836,2.77,5.24
639745,3,APH10513050,2.41,6.7
639746,3,APH10830587,2.69,3.81
639747,3,APH10897748,4.12,14.22
639748,3,APH10525805,14.19,0.75
639749,3,APH10377888,2.56,12.66
639750,3,APH10809712,3.77,3.08
639751,3,APH10482246,2.36,13.41
639752,3,APH10393281,2.27,1.31
639753,3,APH10185009,2,1.02
639754,3,APH10573328,2.13,2.84
639755,3,APH10295959,7.32,1.98
639756,3,APH10795889,4.12,5.6
639757,3,APH10616922,3.44,5.38
639758,3,APH10851104,2.36,6.86
639759,3,APH10653417,6.88,4.31
639760,3,APH10932523,11.29,1.17
639761,3,APH10248726,3,4.96
639762,3,APH10496706,3.26,2.37
639763,3,APH10292796,7.45,3.67
639764,3,APH10932835,14.11,3.03
639765,3,APH10540186,6.69,2.31
639766,3,APH10769704,2.3,10.93
639767,3,APH10482281,2.87,4.31
639768,3,APH10729086,3.71,6.65
639769,3,APH10633867,6.24,4.81
639770,3,APH10410104,3.51,0.62
639771,3,APH10662186,2.27,4.44
639772,3,APH10943239,2.82,5.31
639773,3,APH10214274,3.76,6.86
639774,3,APH10462336,4.88,7.49
639775,3,APH10950434,3.01,9.75
639776,3,APH10904048,2.99,13.17
639777,3,APH10834162,2.05,2.65
639778,3,APH10370214,6.44,13.1
639779,3,APH10545991,3.03,1.62
639780,3,APH10963181,3.08,7.89
639781,3,APH10350921,6.82,2.68
639782,3,APH10799932,9.48,5.86
639783,3,APH10360746,3.2,4.31
639784,3,APH10988733,6.19,10.88
639785,3,APH10225066,2.15,4.58
639786,3,APH10404079,5.91,13.3
639787,3,APH10840990,5.13,5.59
639788,3,APH10572163,4.18,9.51
639789,3,APH10856826,8.58,12.12
639790,3,APH10754289,2.38,1.67
639791,3,APH10594351,5.18,14.55
639792,3,APH10929363,7.91,1.92
639793,3,APH10698341,14.22,10.83
639794,3,APH10156121,10.18,4.11
639795,3,APH10578115,2.7,6.18
639796,3,APH10897878,2.93,9.79
639797,3,APH10911616,13.05,8.54
639798,3,APH10960387,11.82,9.05
639799,3,APH10506195,2.73,1.39
639800,3,APH10434724,3.72,5.79
639801,3,APH10270152,6.6,5.11
639802,3,APH10678871,2.11,7.06
639803,3,APH10205985,3.01,2.19
639804,3,APH10633077,14.61,4.63
639805,3,APH10830919,5.58,13.36
639806,3,APH10265465,2.73,3.42
639807,3,APH10829200,5.24,12.53
639808,3,APH10415188,2.51,6.53
639809,3,APH10438366,6.95,4.45
639810,3,APH10657453,2.68,11.42
639811,3,APH10506180,12.65,14.96
639812,3,APH10352907,13.23,5.02
639813,3,APH10481262,7.67,4.13
639814,3,APH10321045,14.4,8.46
639815,3,APH10726809,4.02,1.52
639816,3,APH10433218,11.47,7.35
639817,3,APH10702368,7.34,6.68
639818,3,APH10888104,2.33,3.08
639819,3,APH10920636,2.44,3.54
639820,3,APH10270505,6.53,9.67
639821,3,APH10273223,9.55,0.92
639822,3,APH10813674,4.71,5.13
639823,3,APH10778472,14.79,2.68
639824,3,APH10738813,7.09,12.12
639825,3,APH10576432,3.86,1.36
639826,3,APH10217990,3.05,8.6
639827,3,APH10865018,2.17,6.46
639828,3,APH10646745,2.93,7.03
639829,3,APH10383206,3.56,5.51
639830,3,APH10707597,11.03,7.96
639831,3,APH10913309,6.54,13.16
639832,3,APH10186730,5.99,1.19
639833,3,APH10188271,3.33,7.16
639834,3,APH10378781,14.01,13.2
639835,3,APH10822280,3.94,10.89
639836,3,APH10403624,3.23,14.62
639837,3,APH10633408,3.07,5.67
639838,3,APH10192629,2.24,8.96
639839,3,APH10486218,3.22,13.04
639840,3,APH10478666,3.52,2.91
639841,3,APH10958327,3.47,0.88
639842,3,APH10982160,4.39,2.63
639843,3,APH10296087,6.08,1.82
639844,3,APH10256277,6.23,7.45
639845,3,APH10795465,2.53,6.57
639846,3,APH10309780,2.58,5.36
639847,3,APH10830910,10.85,13.17
639848,3,APH10977551,2.27,8.42
639849,3,APH10842978,13.68,13.43
639850,3,APH10326959,2.49,6.78
639851,3,APH10731313,6.64,6.14
639852,3,APH10404440,8.6,11.92
639853,3,APH10828945,7.04,12.75
639854,3,APH10884644,6.99,1.73
639855,3,APH10889073,3.59,2.24
639856,3,APH10237318,3.95,5.64
639857,3,APH10354243,3.55,2.55
639858,3,APH10353426,2.96,3.7
639859,3,APH10617963,14.98,4.94
639860,3,APH10241243,2.94,8.33
639861,3,APH10242064,2.31,2.18
639862,3,APH10640194,2.15,5.28
639863,3,APH10499493,9.33,8.46
639864,3,APH10275249,14.19,10.35
639865,3,APH10208101,6.03,0.52
639866,3,APH10716822,8.99,2.68
639867,3,APH10844119,4.07,5.56
639868,3,APH10485582,3.42,0.64
639869,3,APH10862648,4.66,2.96
639870,3,APH10922890,4.42,5.81
639871,3,APH10655786,5.65,0.53
639872,3,APH10596016,3.8,2.32
639873,3,APH10806356,4.57,7.77
639874,3,APH10383795,5.92,4.43
639875,3,APH10565619,5.26,7.63
639876,3,APH10224181,6.69,3.62
639877,3,APH10250676,8.14,1.31
639878,3,APH10623244,6.6,1.86
639879,3,APH10876450,2.69,8.6
639880,3,APH10262395,4.02,1.86
639881,3,APH10879111,9.55,7.51
639882,3,APH10652018,7.44,2.42
639883,3,APH10690202,3.95,3.86
